Tea,茶,601
Coffee,咖啡,602
Sugar,糖,603
Milk,牛奶,604
A cup of tea with milk and sugar,奶茶,605
Ice cream,冰淇淋,606
Cake,蛋糕,607
Chocolate,巧克力,608
Bread and butter,黄油面包,609
Bacon,熏肉,610
Fried egg,煎蛋,611
Breakfast,早餐,612
Dinner,晚餐,613
Dinner time,晚餐时间,614
What would you like to eat?,你想要吃什么,615
Roast beef and potatoes,烤牛肉和土豆,616
Cheese and biscuits,奶酪和饼干,617
Fresh fruit,新鲜水果,618
What would you like to drink,你想要喝什么,619
A pint of beer~ please,请给我一品脱的啤酒,620
I like beer,我喜欢啤酒,621
I don't eat meat,我不吃肉,622
